e174_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e174_selection_sha256,e174_column_unseen_sha256,target_stratum,e174_calibration_sha256,heldout_donor_partition,perturbation_support_contexts_pretruth,excluded_all_e168_e170_e172_targets,selection_used_expression_effect_error_or_e173_outcome
201,R02,1,ENSG00000134146,DPH6,2,DPH6-1+DPH6-2,True,DPH6,True,True,DPH6,True,True,8dd21d6bf0aba7a1777edc05b543f7ce93532da59a4b7af809776d22132f941f,1f15476ac8e46721b34d0ff3d6d2a8e8ccc9f38a71f7ecbd88947c78e151b41b,0c506fbd5a458689dbd57c4c9c64887453e773b8f614e33200e6849a8ea557fa,b5c29077a454902400e19d58d0cf7b7a7567eb2a343914350a0bb94b111a0179,DONOR_UNSEEN_ONLY,18c00d0ca3048af7e0265c157e8dd4d39b4ae8ca9a0b77db49b3e7ca37cae26a,CALIBRATION_20PCT,6,True,False
202,R02,2,ENSG00000134193,REG4,2,REG4-1+REG4-2,True,REG4,True,True,REG4,True,True,ec18d71378741e670acb8ee76fc65015f8e11b4a7c7872a30198a0b419ab84d9,19a69a257dad1779fac854723b9c3535ab819493cf4ef7a36bb988d0296f3474,0c6b2750fc6eeb5ca281b8893456dfe869ab38a43a11e5f2d362b4f97e4abab2,59d0e98ac5419bfd76a9ec5e7278539bc68da2e2120828018f0194288e3e79df,DONOR_UNSEEN_ONLY,7e814b33914f033592a4007ed160d5aeabd80bfab5393c17b8fb402a29c9f4e5,EVALUATION_80PCT,6,True,False
203,R02,3,ENSG00000175756,AURKAIP1,2,AURKAIP1-1+AURKAIP1-2,True,AURKAIP1,True,True,AURKAIP1,True,True,d9fdce696359c38e7f7c7d64064b5fc1d70c76c14b9deebd94a8a48107ea8e17,4696f19d94f968b7518dede502c0ce6a6f530c80898dd27bbab61fd40a6c5b91,0c77dd0f955c0b783bed6e74de99e52d7d46f91b7914445725f92cded442c15e,3ec1d3dc1ed4c1b5c7f6ec52d5a8390f929cb7bad0af0da92441d31b704d5037,DONOR_UNSEEN_ONLY,5b463189084a019f7e9c5f37d36bbb12a25a357eb846166811919b5fbe1b1464,EVALUATION_80PCT,6,True,False
204,R02,4,ENSG00000160007,ARHGAP35,2,ARHGAP35-1+ARHGAP35-2,True,ARHGAP35,True,True,ARHGAP35,True,True,b8897be71645074f466c0a71af140b77a1903faca07a1d7bf12b242380ae3e7b,b62541545abc044ce8ce14547430f0c034a7dfe30c525303f4d4f0a1e160fe0f,0ca7a04f86302106d3d9ef8ef036431d30551e8a1af7d75e07170e6d6d1cb537,232ea0b541f653f7c53a3b8e2488e091593a526306b3b1cf0f6af241fb2aeb99,COLUMN_UNSEEN,2a12d50ac68f8f66d44bcea69067f2937b2922e7291339c97fcf3832bf103f7a,EVALUATION_80PCT,0,True,False
205,R02,5,ENSG00000115963,RND3,2,RND3-1+RND3-2,True,RND3,True,True,RND3,True,True,6fdd4b3b0f546b9192e2c15021e55018f6acb409dc65fa3dea2321cb8d048c6e,e9c61ff61b0945235842ac99c28f927a00591d66ee22e5b4ff0e9a013c3289a5,0cc385f354351c39552a8a11f1030c4c83aecf3a8f42d7cb321ceea890322045,085f6d7b08f100e90fd665162f6ceee156a83a936b38ec53b0f9bf8d15f5a3d9,COLUMN_UNSEEN,dd525958d50a9f604affb387dcd4f9e36405dfc22d497dca679cc160738a1aff,EVALUATION_80PCT,0,True,False
206,R02,6,ENSG00000227059,ANHX,2,ANHX-1+ANHX-2,True,ANHX,True,True,ANHX,True,True,ebf0ba1ce7a74c0b04c1ad1cc5c46d65db7f73fbd2dca897fa7c21a69c79dc4f,f093ed4d797d661455a2cc81865bb78755caebd92dd413c6f422e63ee0ac487c,0cc98be1e6b82492d1e86a8c481f27d319e38b68caa5c2ad165b10fb1fc61457,eeba2c1503a42d18c604812ee55c16d145ffb3245df7780a07365d8cb4149dfb,DONOR_UNSEEN_ONLY,5613a1d3de45ad6c66228a9ec1e2f815b6080b102f28044f427d8f2c9a37e56b,EVALUATION_80PCT,6,True,False
207,R02,7,ENSG00000134595,SOX3,2,SOX3-1+SOX3-2,True,SOX3,True,True,SOX3,True,True,ad8f0756eb5819e06814ab3ea61b807657abcfec731d1d34ff5f01c912bba58d,04b60d3a5fed27efc2581632dfac2f25a9ff515809796b5a89510b97aef742a6,0cf87e039a73fb05b136d239542a66a86c1315d0d091843f2b448dfc2fe66289,180ab65e296f5f9dfe75794d55f7549e63116fb2495b4310d59141767f3fb26a,COLUMN_UNSEEN,d8f18e4ce294ca92645603d6491cdc8ad433c8a0e21d45b0d732e322b3237696,EVALUATION_80PCT,0,True,False
208,R02,8,ENSG00000104866,PPP1R37,2,PPP1R37-1+PPP1R37-2,True,PPP1R37,True,True,PPP1R37,True,True,37afe7ebdc380a0dbaeb649cae347604b5e2e387eb364d0fe1816b32dcfa8da5,bcbe9e9e71a898422f42196bc99ee9b2d8baadda8bbdd1545cb85385c76c2fda,0d43d763343d3a5f2bb0bcd73b0203f4ba339f6633a1ccb265456debdae20228,bfca953be62b960bca8dc43110485c5a8d7353b89832d7baef1ecdf7e15b9acd,DONOR_UNSEEN_ONLY,8b9fc42544ef0fe2a2a38dc7beaa7e351054d485c8984c6d62c05d9f31bc5990,EVALUATION_80PCT,6,True,False
209,R02,9,ENSG00000174437,ATP2A2,2,ATP2A2-1+ATP2A2-2,True,ATP2A2,True,True,ATP2A2,True,True,253e33140db6e3e6e204f15660e451ed49bb1b944fa05ca7098b462c325bd33a,475e4750e83809c425d49b37c6df229ae5c015c3525e3dbce1d0d78f3a28db34,0d449b4c88452be4f18d326320a63f783c8b6d1132d67bf1c30efa1bade3da33,8d8855255d1413d8ed1001e419bd3e36882355967607fb16b44e966b1077baf5,DONOR_UNSEEN_ONLY,4004b9c8110f5290b8cc423f8160c7b3d8a2d8680c2acff212897334d141a77b,EVALUATION_80PCT,6,True,False
210,R02,10,ENSG00000106785,TRIM14,2,TRIM14-1+TRIM14-2,True,TRIM14,True,True,TRIM14,True,True,c74f4f5079f5ecd050f28a469df799a11bd6a29fe2137e1eb223046d872e38b0,a4727bd8836ac957693173f33d220a9bdcbdb014d619b4927407792f0ca0ed6f,0d56f5f2f528053c93667ad9a64fb0186b12eb764aad2b212965fff11932ef2e,700a50587978218b916d1f47b1fb6a21b6701c4ac975ceff01e40d14d1a27bf6,DONOR_UNSEEN_ONLY,2e50fa0dd413f5a3511f32dcd4bf71b1f78d6374d33b8c9c7368e433d36c82ba,CALIBRATION_20PCT,6,True,False
