panel_id,perturbed_gene_id,e189_perturbation_role,reserved_random_pair_donor,reserved_random_pair_state,candidate_train_context_order,selection_sha256
H03,ENSG00000003436,SEEN_PERTURBATION,CE0008162,Rest,CE0006864::Stim8hr|CE0008162::Stim48hr|CE0006864::Stim48hr|CE0008162::Stim8hr|CE0006864::Rest,6e075085ff8bd46c8029634221ae3a5c6594dcede19d26a940bae65e4770ced4
H03,ENSG00000006607,SEEN_PERTURBATION,CE0008162,Stim48hr,CE0006864::Stim8hr|CE0006864::Stim48hr|CE0008162::Rest|CE0008162::Stim8hr|CE0006864::Rest,8cf8bd24c8d6a3a876808c922f7238cb73a7d6f42ee3a7aaab6142752f49fae4
H03,ENSG00000054277,SEEN_PERTURBATION,CE0008162,Stim48hr,CE0008162::Stim8hr|CE0006864::Rest|CE0006864::Stim8hr|CE0008162::Rest|CE0006864::Stim48hr,294f07b6d63ccee9bf43bd89e1fc9e28b6fcca4764cb9d4c224395164209a4b0
H03,ENSG00000063241,SEEN_PERTURBATION,CE0006864,Rest,CE0006864::Stim48hr|CE0008162::Stim48hr|CE0008162::Stim8hr|CE0008162::Rest|CE0006864::Stim8hr,b73b6c286062a0efaeadf5d1f3667c9b8b2e3b218bc2edd2316e8a6ce11e2ffb
H03,ENSG00000066322,SEEN_PERTURBATION,CE0006864,Stim48hr,CE0006864::Rest|CE0006864::Stim8hr|CE0008162::Rest|CE0008162::Stim8hr|CE0008162::Stim48hr,d3642305d695ebbf0a5f6467d4696bf11dc49bc2a52235e5632d9877167cd0ca
H03,ENSG00000072694,SEEN_PERTURBATION,CE0006864,Stim48hr,CE0008162::Stim8hr|CE0006864::Stim8hr|CE0006864::Rest|CE0008162::Stim48hr|CE0008162::Rest,954dc383d5829037dfb0dfa0a6a213167cbd791a5603448d65b16d26b20b6727
H03,ENSG00000073050,SEEN_PERTURBATION,CE0006864,Rest,CE0006864::Stim8hr|CE0008162::Stim48hr|CE0008162::Stim8hr|CE0008162::Rest|CE0006864::Stim48hr,539d8a37d0a8c2ce59b570c797ce8413917b55feda8435802ddec5b4664deb8e
H03,ENSG00000074416,SEEN_PERTURBATION,CE0006864,Rest,CE0008162::Rest|CE0008162::Stim48hr|CE0006864::Stim48hr|CE0006864::Stim8hr|CE0008162::Stim8hr,66cc21f45f6109f92f5182bdac779c2a6c86b4b12965e814f405a1b89be6c64e
H03,ENSG00000078081,SEEN_PERTURBATION,CE0008162,Stim48hr,CE0008162::Stim8hr|CE0006864::Stim8hr|CE0008162::Rest|CE0006864::Stim48hr|CE0006864::Rest,c7afafc51d97a6723237a935926587ff8fabae43d1af5c536feb72b0785b2a0c
H03,ENSG00000080824,SEEN_PERTURBATION,CE0006864,Stim8hr,CE0008162::Stim8hr|CE0006864::Stim48hr|CE0006864::Rest|CE0008162::Stim48hr|CE0008162::Rest,445883cc6a5ace29fa40a201e15b9c7dee7059f93393de4410a80a6ea2e49ce9
H03,ENSG00000082258,SEEN_PERTURBATION,CE0008162,Stim48hr,CE0008162::Stim8hr|CE0006864::Stim48hr|CE0006864::Rest|CE0008162::Rest|CE0006864::Stim8hr,dfd2717fe246527a90250d7b059930e81e80a04fe92a06c0ef5539ba82086306
H03,ENSG00000083642,SEEN_PERTURBATION,CE0006864,Stim48hr,CE0008162::Stim8hr|CE0008162::Stim48hr|CE0006864::Rest|CE0008162::Rest|CE0006864::Stim8hr,ebae2f31d00618d4c76b84cb2519726ab0f091cc84d43979a30ef857096d5b04
H03,ENSG00000084636,SEEN_PERTURBATION,CE0006864,Stim48hr,CE0008162::Stim48hr|CE0006864::Stim8hr|CE0008162::Rest|CE0006864::Rest|CE0008162::Stim8hr,a3263717e3c5849f51f2daa81cb496e05ce05030df04a185b3e61dfb2054b761
H03,ENSG00000087250,SEEN_PERTURBATION,CE0008162,Stim8hr,CE0006864::Stim8hr|CE0006864::Rest|CE0008162::Rest|CE0008162::Stim48hr|CE0006864::Stim48hr,297ec67328bd14bb68e8bd13e37018ff3a800083d1b198a1752de9a9ac058809
H03,ENSG00000087266,SEEN_PERTURBATION,CE0008162,Rest,CE0008162::Stim48hr|CE0006864::Stim8hr|CE0006864::Rest|CE0006864::Stim48hr|CE0008162::Stim8hr,4303f538f12770e189e80d9e182c902608cd84b0e5a6a3d8f5679018bc9286f4
H03,ENSG00000087448,SEEN_PERTURBATION,CE0008162,Stim8hr,CE0006864::Rest|CE0008162::Stim48hr|CE0006864::Stim48hr|CE0006864::Stim8hr|CE0008162::Rest,eb2282bac2d31a94d5ffbfd2ccb2230e2f5d4675247abc75fc14f8f1449af590
H03,ENSG00000089723,SEEN_PERTURBATION,CE0008162,Stim8hr,CE0008162::Stim48hr|CE0006864::Stim48hr|CE0008162::Rest|CE0006864::Rest|CE0006864::Stim8hr,5120f72e783190b8d3fd7636ff55ac91109c2f340e4a5c023407988856624242
H03,ENSG00000089902,SEEN_PERTURBATION,CE0008162,Stim48hr,CE0006864::Stim48hr|CE0008162::Stim8hr|CE0006864::Stim8hr|CE0008162::Rest|CE0006864::Rest,88f595b29ffe34f3d16163ae06be09f6a174bd8b63cadfc12bc20af4223f6a73
H03,ENSG00000099338,SEEN_PERTURBATION,CE0006864,Stim48hr,CE0008162::Stim48hr|CE0008162::Stim8hr|CE0008162::Rest|CE0006864::Stim8hr|CE0006864::Rest,578c0a1c85283113a221f389ade7c569f6f2ae72d8d1edd270f904763a2c5e30
H03,ENSG00000099910,SEEN_PERTURBATION,CE0006864,Stim48hr,CE0008162::Stim8hr|CE0008162::Stim48hr|CE0006864::Stim8hr|CE0006864::Rest|CE0008162::Rest,8d08d0248855fb56ad81ef93773f7cce19b00391855a2f88a4613099de1da45d
H03,ENSG00000100991,SEEN_PERTURBATION,CE0006864,Rest,CE0008162::Stim8hr|CE0006864::Stim8hr|CE0008162::Rest|CE0008162::Stim48hr|CE0006864::Stim48hr,caf45c0d122eeccf8fe252de9b0a37078f9d1d9ad1e4dc668e9a826b7f0c7609
H03,ENSG00000101849,SEEN_PERTURBATION,CE0006864,Rest,CE0006864::Stim48hr|CE0006864::Stim8hr|CE0008162::Rest|CE0008162::Stim48hr|CE0008162::Stim8hr,5baf3b236f29a4fa512d7f6962f0f810dc905f402c18e97217968279089830ce
H03,ENSG00000101997,SEEN_PERTURBATION,CE0006864,Rest,CE0008162::Rest|CE0006864::Stim48hr|CE0008162::Stim8hr|CE0008162::Stim48hr|CE0006864::Stim8hr,c99d4e04c6566ed05d798a29d7e974873034a00c35c39629364a5db73d668c2d
H03,ENSG00000102390,SEEN_PERTURBATION,CE0006864,Stim48hr,CE0008162::Stim48hr|CE0006864::Stim8hr|CE0008162::Rest|CE0006864::Rest|CE0008162::Stim8hr,753d2d77a7fa05cd456acf6a563e3c1d310166dc0ab3a60b49aacac8e903c0fc
H03,ENSG00000103194,SEEN_PERTURBATION,CE0008162,Rest,CE0006864::Stim8hr|CE0008162::Stim8hr|CE0006864::Rest|CE0008162::Stim48hr|CE0006864::Stim48hr,4767dbfe546255b54208536890e549a403f8066e05c7f1b21a3c6cebe19aa1cf
H03,ENSG00000104341,SEEN_PERTURBATION,CE0008162,Stim48hr,CE0006864::Rest|CE0008162::Stim8hr|CE0006864::Stim48hr|CE0006864::Stim8hr|CE0008162::Rest,197aa0921f236bb223cb890d80fa667f26fbacaebbe18b8c08b2dc9a38078c82
