panel_id,perturbed_gene_id,e189_perturbation_role,reserved_random_pair_donor,reserved_random_pair_state,candidate_train_context_order,selection_sha256
H01,ENSG00000004487,SEEN_PERTURBATION,CE0010866,Stim8hr,CE0010866::Stim48hr|CE0008678::Stim48hr|CE0010866::Rest|CE0008678::Stim8hr|CE0008678::Rest,20bdc4d9e48d2f128ed211141bebabb3402437b72fe794b280d2b057b44b1e4f
H01,ENSG00000005483,SEEN_PERTURBATION,CE0010866,Rest,CE0008678::Stim48hr|CE0010866::Stim8hr|CE0010866::Stim48hr|CE0008678::Stim8hr|CE0008678::Rest,588237081c62ff1253f5d0c983d864fc9e67beab8b57f981ee5a8eea63f27e37
H01,ENSG00000005884,SEEN_PERTURBATION,CE0008678,Rest,CE0008678::Stim8hr|CE0010866::Stim8hr|CE0008678::Stim48hr|CE0010866::Rest|CE0010866::Stim48hr,f98446745d9ff5520ff56670cc5694e3b662a46c93afdc42a8e6aa15f34e2aca
H01,ENSG00000007372,SEEN_PERTURBATION,CE0008678,Rest,CE0008678::Stim8hr|CE0008678::Stim48hr|CE0010866::Stim8hr|CE0010866::Rest|CE0010866::Stim48hr,7a730ce2cfb34eacb67ef2836ecfd6711823622d218071c458902717a8712221
H01,ENSG00000009724,SEEN_PERTURBATION,CE0010866,Stim8hr,CE0008678::Rest|CE0008678::Stim8hr|CE0010866::Rest|CE0008678::Stim48hr|CE0010866::Stim48hr,9ba0dacd85260b856e74b062b1ea29865f6637bee91e7d1896dcb3eaca3dfbf4
H01,ENSG00000016391,SEEN_PERTURBATION,CE0010866,Stim8hr,CE0008678::Rest|CE0010866::Rest|CE0008678::Stim8hr|CE0010866::Stim48hr|CE0008678::Stim48hr,615201f5d6169276949e8b822bf0359bca3af275fe2dbc2e64a11f4d10573feb
H01,ENSG00000042088,SEEN_PERTURBATION,CE0008678,Stim48hr,CE0010866::Stim48hr|CE0010866::Rest|CE0008678::Stim8hr|CE0010866::Stim8hr|CE0008678::Rest,68cfa867ce0d72239a1154461a3816942f5c33716dafafc550ceb72baa54e8b8
H01,ENSG00000048052,SEEN_PERTURBATION,CE0008678,Stim8hr,CE0008678::Rest|CE0010866::Rest|CE0010866::Stim8hr|CE0008678::Stim48hr|CE0010866::Stim48hr,8a4f26bbce3a5799d6971868fc92fdf782e2a72139fd2a4ff532c54d4bbfd912
H01,ENSG00000048828,SEEN_PERTURBATION,CE0010866,Rest,CE0008678::Rest|CE0010866::Stim8hr|CE0008678::Stim48hr|CE0008678::Stim8hr|CE0010866::Stim48hr,0e0ce6fe1d1b75e30f3f3b7992393f41b7740f55bc7426c56501c15f0204639c
H01,ENSG00000049192,SEEN_PERTURBATION,CE0008678,Rest,CE0008678::Stim48hr|CE0008678::Stim8hr|CE0010866::Stim48hr|CE0010866::Stim8hr|CE0010866::Rest,3bef25e8953e8d7a457957229c02ce9641becb1f48771f9365dd3b46c6064fdf
