e174_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e174_selection_sha256,e174_column_unseen_sha256,target_stratum,e174_calibration_sha256,heldout_donor_partition,perturbation_support_contexts_pretruth,excluded_all_e168_e170_e172_targets,selection_used_expression_effect_error_or_e173_outcome
601,R04,1,ENSG00000169379,ARL13B,2,ARL13B-1+ARL13B-2,True,ARL13B,True,True,ARL13B,True,True,e031a21376aa361eef519d58430886194254d83c79e536eec08384024a4ab9bf,5889f2ec28e6c4bc02a8f056b8b591ab091c8353575da4c942b140eaf0bd8432,28e53d7d80850ec89c387341f5547f85012ea15788b0795957fd6d229cf15288,5f09def3913d75dd9f0d90250bdd70263879e3a963473cdd5ee50409000cca2c,DONOR_UNSEEN_ONLY,9f612376df3b7d3cc6cd2db2f2d0c4fed25ec426f69ab5cf685c85f4fb69c378,EVALUATION_80PCT,6,True,False
602,R04,2,ENSG00000139697,SBNO1,2,SBNO1-1+SBNO1-2,True,SBNO1,True,True,SBNO1,True,True,7c8991f5bcd6d755b0a8ac1afc99094db27936d071db2f5e91989b1efb159972,82ccd2b73d58ee3078ee36191d231f6e030179455203dfab49e4e3253eb867b5,28ebb7252004e96971db3f49c3ba945508260febdf8c44d468462b46248f0f34,6b711e2aafa44c1b36eda1ddffde7c08cf3ea04bd3f9f2e26b8528b93a5a6e26,DONOR_UNSEEN_ONLY,662ef153fc96fce7172e958559abeda59f195be559e9efe4f270eb289c1d6fb7,EVALUATION_80PCT,6,True,False
603,R04,3,ENSG00000119535,CSF3R,2,CSF3R-1+CSF3R-2,True,CSF3R,True,True,CSF3R,True,True,0a34199b331ded8f79d3ce9793cb603a23fd61934c13e8809087c67372604cb9,0566163d3f563b0eca80c241cacc8888cc7b9206bdb1c7837734d8fdee547650,28fee5ab97c83c1fdce12580add40112fa928c4771b0855276176af1c8b1f356,21e6e5a3228b829bd2e953cbd21e46781d03f8c28990defde0ae7404cf2b6a3e,COLUMN_UNSEEN,3f9de061a739ef58e8b735f36fece73b379ad4ca0574a678acb0b25c4586a53e,CALIBRATION_20PCT,0,True,False
604,R04,4,ENSG00000100258,LMF2,2,LMF2-1+LMF2-2,True,LMF2,True,True,LMF2,True,True,3e6fe9e203981b8b9c17a5af9e4cd670c2dbea0fc0b1e7ae05adc46a47acd6a7,775021004f5bdd9275aedc1d1573243ca1738286702e9f8a363564cf5e07ace6,2905e2b93d4e124f643a6b58cb5758a75bf62355f19975094a692d214a67a648,593e6c5a8a70bff72302e93d62ea569139fa25331774b2a020253a7e28588d1a,DONOR_UNSEEN_ONLY,bb5f3cbaed3d34e7f0cbb51b28ae269fd56471687066f4e918de70ac7637140e,EVALUATION_80PCT,6,True,False
605,R04,5,ENSG00000178163,ZNF518B,2,ZNF518B-1+ZNF518B-2,True,ZNF518B,True,True,ZNF518B,True,True,7e79e25693162447a46e237915dbcf9491797d862b8de79fb1a8b2cb66543da2,d38200fd4ef3e525bc5c87b496353c72cce28e7651a89aa1e16f2d0f64cb0e83,2907cb54ab11960c40b682abe5df60749f66b74d8907e4025c2739a3a9f2f8d5,5fa308b4666b5af64628d10ae04f483c046c599e6b2f964f060641703f5201d5,DONOR_UNSEEN_ONLY,d469cef970e35dc778cc4a0771db1ec809ba9f8a82c7a8a6dc6fa049d8870edb,EVALUATION_80PCT,6,True,False
606,R04,6,ENSG00000121931,LRIF1,2,LRIF1-1+LRIF1-2,True,LRIF1,True,True,LRIF1,True,True,fd3d0e50f6396ec1ef5d45683c806d29629196b46a7320c94697f60b0ece7fa4,87226027a918545a19a753d4bf0e4d108458bfa2dbf4a6fce9a11cf5a275fa97,29134ceaca887478dcc56ac977ab0f2a62743b3e790a45cf835e0b9137a5fef8,4b7a11197a8bc76ef0aead73d07f31695c759962f1546ee401a9d209576f96ac,DONOR_UNSEEN_ONLY,a32e2c59701c571deb2b39f918ae9f9eccd2dc012a68c3a23d0a312e3fa644a1,EVALUATION_80PCT,6,True,False
607,R04,7,ENSG00000212657,KRTAP16-1,2,KRTAP16-1-1+KRTAP16-1-2,True,KRTAP16-1,True,True,KRTAP16-1,True,True,369042cc50ca0a7d880c5b51e4c68171640dd4352c35a4bbd2a04f07a9339519,3550531caafa20c8ec886cc0edfbeda77a571c1efc68bda190dfd315ca64867c,29171cbcf47cac663aa53a1ec61f6b76bdc24d5477f7ba832e5d8fd0cd4c9fb1,75c0ae6f13772b0ef0701b704b39e0c37f1db279532f6df21f9e06447b169b99,DONOR_UNSEEN_ONLY,c6f342b71d9e83148b1159346ea5e6ce761d5cb9c59d2ab3ab1119b068acd095,EVALUATION_80PCT,6,True,False
608,R04,8,ENSG00000180370,PAK2,2,PAK2-1+PAK2-2,True,PAK2,True,True,PAK2,True,True,cf838929dbd83c1a3d1d72fe28990694fe283b2a508c30d08bd74a79a57c180d,31845aadcb3c43b6a988aa780a4ce2d94c6844b693130a9be4b938aeb8756d50,2918f44f1798d32b40ffc8ea119a74ea7d2f7b6c91ac210de9bccbc5103fcc80,31dae339a9fee9792cb26d1d44959474f8825405b1837a50553014794410bfa0,COLUMN_UNSEEN,50ea66cfb6d6ed01b863ddc8fae3bfad5ec437d8cf2a4de6ac2947897d3c56d4,EVALUATION_80PCT,0,True,False
609,R04,9,ENSG00000113971,NPHP3,2,NPHP3-1+NPHP3-2,True,NPHP3,True,True,NPHP3,True,True,22eb94bc9f182afa998cbc4caa60e9a623d21b0559a53fa6156b8f6e8da042c9,c78986e1757055487af1e3dcecbd01cc820a8a3e001b69308f1687e4a38eb66a,291fff4287879e5baff8f40f7be1c678469da2cf430547b3f46e779b2ed81baa,9789c4a1fb939da1ccdffc1b11b43e8cc0b6dd8381544f0d37d47f8b9cf71985,DONOR_UNSEEN_ONLY,b140c23c3387dc3c47706fb1668e424d0a9340010a01862c0c9a45d36e2d63d8,EVALUATION_80PCT,6,True,False
610,R04,10,ENSG00000170417,TMEM182,2,TMEM182-1+TMEM182-2,True,TMEM182,True,True,TMEM182,True,True,c91a38bb31a5e2879385fa76ec88f5b6a136cbddf49458b33a9614c4f7b0a7dd,2ca4491b9f29fcdba5f994b9c9e09b24ccc9250b978cdd946277e1dddcd8c126,2922476d8cdf7e780c42c613b5b3aa5b07936daf589bb024a768cc6536a00afe,ea7302ce1893a1b7304d68f277788ebd13db42c0fd26faa9f828d45997d5d12c,DONOR_UNSEEN_ONLY,12a4463bdc74baee75b1d0fc041d965ab0d230c44d3f8517216e9a6c456b1175,CALIBRATION_20PCT,6,True,False
